HMM profile name	Virus Phylum/Class	Virus group
Dino_Aquinto	Aquintoviricetes	Dino_cluster
GKS1-Gossevirus_Mavpol	Polintoviricetes	Gossevirus
GKS2-Alpenseevirus_NCV-like	Nucleocytoviricota-like	Alpenseevirus
GKS3-CHI_Aquinto	Aquintoviricetes	GKS3
Mavpol1	Polintoviricetes	Maverick-Polinton
Mavpol2	Polintoviricetes	Maverick-Polinton
Trimcap_A4_Aquinto	Aquintoviricetes	Trimcap_cluster_1
Trimcap_B1_Aquinto	Aquintoviricetes	Trimcap_cluster_2
Trimcap_B2_Aquinto	Aquintoviricetes	Trimcap_cluster_2
Trimcap_B3_Aquinto	Aquintoviricetes	Trimcap_cluster_2
Zephyrvirus4_NCV-like	Nucleocytoviricota-like	Zephyrvirus
Zephyrvirus5_NCV-like	Nucleocytoviricota-like	Zephyrvirus
Nova6_VC35_Mavpol2	Polintoviricetes	Maverick-Polinton_2
Nova7_Aquinto	Aquintoviricetes	
Nova8_NCV-like	Nucleocytoviricota-like	
Nova9_Aquinto_Trimcap-related	Aquintoviricetes	Trimcap_cluster_1
PaM1_Aquinto	Aquintoviricetes	Pam1
PaM2_NCV-like	Aquintoviricetes	Pam2
VC124-VC134_NCV-like	Nucleocytoviricota-like	VC124-134
PC6-20_Aquinto	Aquintoviricetes	
PgVV_Aquinto	Aquintoviricetes	PgVV
SP67_Aquinto	Aquintoviricetes	SP67
SP70_Aquinto	Aquintoviricetes	SP70
SP71_Aquinto	Aquintoviricetes	SP71
SP_Aquinto	Aquintoviricetes	SP
Trimcap_A1_Aquinto	Aquintoviricetes	Trimcap_cluster_1
Trimcap_A2_Aquinto	Aquintoviricetes	Trimcap_cluster_1
Trimcap_A3_74_Aquinto	Aquintoviricetes	Trimcap_cluster_1
Trimcap_A3_Aquinto	Aquintoviricetes	Trimcap_cluster_1
Virophage	Virophaviricetes	Virophage
VC40_NCV-like	Nucleocytoviricota-like	VC40
VC224_NA	Polintoviricetes	Mavpol2
VC100_Mavpol1-like	Polintoviricetes	VC100-Mavpol1-like
VC147_GKS3_Aquinto	Aquintoviricetes	GKS3-CHI
Cluster_187_Aquinto	Aquintoviricetes	
VC104_Aquinto	Aquintoviricetes	Animal_PLV_group
Cluster_276_NA	unclassified	
Cluster_217_NA	unclassified	
VC289_Mriyavirus_NCV-like	Nucleocytoviricota-like	Mriyavirus
VC218_Pam2_NCV-like	Nucleocytoviricota-like	
Cluster_261_NA	unclassified	
Cluster_152_Aquinto	Aquintoviricetes	Trimcap_cluster_2
Cluster_280_NA	unclassified	
Zoravirus_VC102_NCV-like	Nucleocytoviricota-like	Zoravirus_VC102
MMM_PC12_NA	unclassified	Metamonada_PLV
MMM_PC40_NA	unclassified	Metamonada_PLV
MMM_PC40b_NA	unclassified	Metamonada_PLV
MMM_PC41_NA	unclassified	Metamonada_PLV
Mriya_Nova10_NCV-like	Nucleocytoviricota	Mriyavirus
gamadvirus_MCP_NCV-like	Nucleocytoviricota	Mriyavirus
yaravirus_MCP_NCV-like	Nucleocytoviricota	Mriyavirus
GVOG02728	Nucleocytoviricota	NLCDV 
GVOG04678	Nucleocytoviricota	NLCDV 
GVOG04969	Nucleocytoviricota	NLCDV 
GVOGm0003	Nucleocytoviricota	NLCDV 
GVOGm0825	Nucleocytoviricota	NLCDV 
